platform_id,platform,category,protocol,api_surface,automation_method,tier,country
IN-abha-abdm-core-hfr-hpr-hie-cm,"ABHA / ABDM core (HFR, HPR, HIE-CM)",National Infra,unknown,none-documented,ui-automation,P0,India
IN-cdac,CDAC,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P0,India
IN-cdac,CDAC,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P0,India
IN-practo,Practo,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P0,India
IN-nic,NIC,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P0,India
IN-karexpert,KareXpert,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P0,India
IN-e-hospital-nextgen-e-hmis,e-Hospital / NextGen e-HMIS,HMIS,unknown,none-documented,ui-automation,P0,India
IN-e-sushrut,e-Sushrut,HMIS,unknown,none-documented,ui-automation,P0,India
IN-healthplix,HealthPlix,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P0,India
IN-bahmni,Bahmni,HMIS,unknown,none-documented,ui-automation,P0,India/Global
IN-openmrs,OpenMRS,EMR,unknown,none-documented,ui-automation,P0,Global
IN-medixcel-emr-his,Medixcel EMR & HIS,HMIS,unknown,none-documented,ui-automation,P0,India
IN-nhcx,NHCX,Insurance Exchange,unknown,none-documented,ui-automation,P0,India
IN-dcm4chee,dcm4chee,RIS/PACS,unknown,none-documented,ui-automation,P0,Global
IN-attune-his-lis,Attune HIS/LIS,HMIS,unknown,none-documented,ui-automation,P0,India
IN-insta-hms,Insta HMS,HMIS,unknown,none-documented,ui-automation,P0,India
IN-creliohealth,CrelioHealth,LMIS,unknown,none-documented,ui-automation,P1,India
IN-e-sushrut-clinic,e-Sushrut@Clinic,HMIS,unknown,none-documented,ui-automation,P1,India
IN-drucare-private,Drucare Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-drucare-private,Drucare Private Limited,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-drucare-private,Drucare Private Limited,Pharmacy,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-orbi-health-private,Orbi Health Private Limited,Connectors,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-orbi-health-private,Orbi Health Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-orbi-health-private,Orbi Health Private Limited,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-orbi-health-private,Orbi Health Private Limited,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-plus-91,Plus 91,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-plus-91,Plus 91,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-plus-91,Plus 91,NHCX,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-plus-91,Plus 91,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-yro-systems-pvt,Yro Systems Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-yro-systems-pvt,Yro Systems Pvt Ltd,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-bajaj-finserv-health,Bajaj Finserv Health,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-bajaj-finserv-health,Bajaj Finserv Health,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-bajaj-finserv-health,Bajaj Finserv Health,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-bajaj-finserv-health,Bajaj Finserv Health,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-dhanush-healthcare-systems-private,Dhanush Healthcare Systems Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-dhanush-healthcare-systems-private,Dhanush Healthcare Systems Private Limited,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-hodo-medical-informatic-solutions-private,HODO Medical Informatic Solutions Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-hodo-medical-informatic-solutions-private,HODO Medical Informatic Solutions Private Limited,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
IN-healthray-technologies-pvt,Healthray Technologies Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P1,India
